ID,Article
NER001,"The World Health Organization announced on March 4, 2026, that Nigeria had expanded its malaria prevention program across Lagos and Kano states. WHO officials said the initiative would reach more than 2 million people."
NER002,"Microsoft opened a new artificial intelligence research center in Lagos on January 15, 2026. Chief Executive Officer Satya Nadella said the company planned to invest $50 million in technology education across West Africa."
NER003,"The University of Lagos hosted the West Africa Public Health Conference from June 10 to June 12, 2026. Researchers from Nigeria, Ghana, and Kenya discussed tuberculosis, COVID-19, and other infectious diseases."
NER004,"Apple introduced the iPhone 16 Pro during an event in California on September 9, 2025. The company reported that sales increased by 18 percent during the first quarter following the launch."
NER005,Nigeria's Federal Ministry of Health reported that malaria cases had fallen by 12.5% between January and July 2026. Minister Amina Mohammed said hospitals in Abuja and Lagos would receive additional medical equipment worth ?3 billion.
NER006,"The Olympic Games attracted athletes from more than 200 countries. Kenyan runner Eliud Kipchoge discussed preparations for the competition after arriving in Paris on July 20, 2024."
NER007,Tesla announced that its Model Y production facility in Berlin would increase output in October 2026. The company expects production to rise by 25 percent and plans to invest €400 million in the facility.
NER008,"The Nigerian Centre for Disease Control confirmed an outbreak of Lassa fever in several communities in Edo State on February 8, 2026. Director General Jide Idris urged residents to report suspected cases to health authorities."
NER009,"The World Economic Forum held its annual meeting in Davos, Switzerland, in January 2026. European Commission President Ursula von der Leyen spoke about economic growth, artificial intelligence, and climate policy."
NER010,"Google announced a partnership with the University of Ibadan to develop new digital learning tools. The agreement, signed on April 22, 2026, will provide $8 million for research and training programs in Nigeria."
NER011,"During the FIFA World Cup, Brazil defeated Argentina in a closely contested match in São Paulo. Brazilian captain Neymar said the team had prepared for the tournament for more than a year."
NER012,Pfizer reported positive results from a clinical study of a new treatment for influenza.
