id,title,text
1,Lagos University Opens New AI Research Centre,"Lagos Metropolitan University has opened a new artificial intelligence research centre to support research in health, education and agriculture. Vice-Chancellor Dr. Ada Nwosu said the centre will work with technology companies and public agencies. The university received a 450 million naira research grant for equipment and training. Researchers said the project could strengthen local innovation, although some students questioned whether the programme would benefit them directly."
2,Solar Company Announces Rural Electrification Programme,"BrightGrid Energy, a renewable energy company based in Abuja, announced a programme to install solar mini-grids in 35 rural communities across northern Nigeria. Chief Executive Musa Bello said the first installations will begin in September. The company expects the programme to provide electricity to about 80,000 residents. Community leaders welcomed the announcement but requested clear maintenance plans."
3,Government Launches Digital Health Records Initiative,"The Federal Ministry of Health has launched a digital health records initiative designed to improve the exchange of patient information between public hospitals. Minister Grace Okafor said the system will initially be introduced in Lagos, Kaduna and Enugu. The ministry allocated 2.8 billion naira to the first phase. Health administrators praised the potential efficiency gains, while privacy advocates called for stronger safeguards."
4,Bank Reports Strong Growth in Mobile Payments,Unity Bank reported a 28 percent increase in mobile payment transactions during the first half of the year. Managing Director Chinedu Eze attributed the growth to wider smartphone use and improved mobile banking services. The bank said it plans to invest 900 million naira in cybersecurity and customer support. Financial analysts described the results as encouraging but warned that digital fraud remains a significant challenge.
5,New Marine Science Vessel Begins Research Mission,"The Nigerian Institute for Marine Research has deployed the research vessel Ocean Explorer for a six-week study of coastal ecosystems. Scientists from Lagos and Rivers states will collect data on water quality, fisheries and plastic pollution. Project leader Dr. Fatima Ibrahim said the findings could support conservation policies. Environmental groups welcomed the research and urged authorities to publish the results."
6,City Council Approves Expanded Bus Network,The Lagos City Transport Council approved an expansion of the metropolitan bus network after months of public consultation. Transport Commissioner Tunde Adebayo said 120 additional buses will serve routes connecting outer districts with major employment centres. The project is expected to cost 6.4 billion naira. Commuter groups welcomed the plan but asked officials to publish detailed schedules before implementation.
7,Pharmaceutical Manufacturer Opens New Vaccine Facility,MedCore Pharmaceuticals has opened a vaccine manufacturing facility in Ogun State following a three-year construction programme. Company Chairperson Helen Mensah said the plant will initially produce vaccines for childhood diseases and employ more than 300 workers. The facility received regulatory approval after an inspection by national health authorities. Public health researchers described the investment as an important step toward increasing regional manufacturing capacity.
8,University Researchers Develop Drought-Resistant Maize Variety,Researchers at the University of Ibadan announced the development of a maize variety designed to perform better during periods of limited rainfall. Lead scientist Professor Samuel Adeyemi said field trials were conducted at four agricultural research stations. The research team reported higher yields than the comparison variety under dry conditions. Farmers' associations said they were interested in the findings but requested affordable access to certified seeds.
9,Technology Firm Faces Investigation Over Customer Data,DataGuard Technologies is being investigated by the National Digital Protection Authority after customers complained that personal information was being used without clear consent. The authority said investigators are reviewing the company's data-handling procedures. DataGuard spokesperson Amina Yusuf said the company is cooperating fully and has temporarily suspended one marketing programme. Consumer advocates called for transparency about the outcome of the investigation.
10,Regional Sports Federation Announces Youth Development Plan,"The West African Sports Federation announced a youth development programme that will provide coaching and competition opportunities for athletes aged 14 to 18. Federation President Kwame Mensah said the programme will operate in Ghana, Nigeria, Senegal and Sierra Leone. The federation has committed 1.2 billion naira to training facilities and scholarships. Coaches praised the initiative, while several schools requested more information about selection criteria."
11,Hospital Introduces AI Tool for Medical Image Review,"Central General Hospital in Abuja has begun testing an artificial intelligence tool that helps doctors review medical images. The hospital's radiology director, Dr. Miriam Okoye, said the software is intended to assist clinicians rather than replace them. The pilot programme will run for six months and involve 18 radiologists. Medical experts said the technology could reduce workload but emphasized that doctors must remain responsible for clinical decisions."
12,Farmers Cooperative Launches Digital Market Platform,"The GreenFields Farmers Cooperative has launched an online marketplace connecting small-scale farmers with food processors and retailers. Cooperative chairperson Ibrahim Garba said the platform will initially serve producers in Kaduna and Kano states. The cooperative invested 160 million naira in software development and training. Farmers said the platform could improve access to buyers, although some members expressed concern about internet access in remote communities."
13,International Company Announces New Data Centre,"CloudSphere International announced plans to build a 15 billion naira data centre in Abuja. Regional Director Elena Rossi said construction is expected to begin in October and create approximately 600 temporary jobs. The company said the facility will serve customers across West Africa. Technology analysts viewed the investment positively, while environmental groups asked for information about energy consumption and cooling systems."
14,Public Health Agency Reports Decline in Measles Cases,The National Public Health Agency reported a 19 percent decline in confirmed measles cases during the latest surveillance period. Director Dr. Peter Lawal attributed the improvement partly to expanded childhood vaccination campaigns. The agency said more than 3 million children were reached during the campaign. Epidemiologists welcomed the reduction but warned that continued surveillance and vaccination coverage remain necessary.
15,Court Hears Challenge to Coastal Construction Permit,The Federal High Court in Lagos heard arguments concerning a legal challenge to a permit for a proposed coastal construction project. Environmental organisation CoastWatch argued that the approval process did not adequately address potential effects on wetlands. Project developer Atlantic Harbour Ltd. said it had complied with all regulatory requirements. Justice Ibrahim Danjuma ordered the parties to submit additional documents before the next hearing.
16,Retailer Introduces Reusable Packaging Programme,FreshMart Retail announced a reusable packaging programme for selected products at 25 stores in Lagos and Abuja. Sustainability Director Ngozi Eze said customers will be able to return approved containers for cleaning and reuse. The retailer expects the programme to reduce single-use packaging waste by 400 tonnes annually. Environmental campaigners welcomed the initiative but said its impact should be measured independently.
17,School Network Launches Teacher Training Programme,"The National Learning Network has launched a teacher training programme focused on digital teaching methods and classroom data management. Programme Director Yusuf Ibrahim said 2,000 teachers will participate during the first year. The organisation received a 700 million naira education grant to support training and equipment. Teachers who attended the first workshops described the sessions as useful but requested continued technical support."
18,Energy Regulator Publishes New Grid Reliability Framework,The National Energy Regulation Commission published a new framework aimed at improving electricity grid reliability. Commission Chairperson Esther Balogun said power distributors will be required to report outages using standardized measures. The framework introduces quarterly performance reviews and financial penalties for some unresolved service failures. Consumer groups welcomed the proposed transparency measures but said enforcement will determine whether customers see improvements.
19,Startup Secures Funding for Flood Prediction System,"RiverWatch Analytics, a Lagos-based technology startup, has secured 1.1 billion naira in investment to develop a flood prediction and early-warning system. Founder Daniel Okoro said the platform combines rainfall data, river measurements and satellite observations. The company plans to pilot the system in communities along the Niger River. Disaster management officials expressed interest in the project and said reliable local forecasts could improve emergency planning."
20,Museum Opens Exhibition on West African Scientific Heritage,"The National Museum of Science and Culture in Abuja has opened an exhibition exploring historical scientific and technological knowledge from West Africa. Curator Aisha Bello said the exhibition includes agricultural tools, astronomical records and traditional engineering techniques. The museum expects 50,000 visitors during the four-month exhibition. Historians praised the educational focus and encouraged the museum to provide more context about the sources of the displayed materials."
